field,angle,sublattice,ik,ikprime,qx,qy,qz,structure_factor
2.0,0,0,0,0,0.0,0.0,0.0,63.999999999978215
2.0,0,0,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,42.21265214240968
2.0,0,0,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,9.443388150158814
2.0,0,0,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,42.2126521424102
2.0,0,0,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,16.71218027533503
2.0,0,0,0,5,5.551115123125783e-17,-0.4162771276085246,-5.0366664873315985e-17,0.00024163013309921362
2.0,0,0,0,6,0.03605065675233994,-0.4370909839889509,-5.324646617009432e-17,0.04001885760584777
2.0,0,0,0,7,0.03605065675233993,-0.3954632712280984,-4.820979968276272e-17,0.03162183243573733
2.0,0,0,0,8,0.07210131350467978,-0.4162771276085246,-5.108960097954106e-17,0.03938060314685993
2.0,0,0,0,9,0.07210131350467978,-0.37464941484767217,-4.605293449220947e-17,0.04687499994611643
2.0,0,0,0,10,-0.32445591077105895,-0.22895242018468848,-2.4448453202310898e-17,0.031621832532740875
2.0,0,0,0,11,-0.28840525401871897,-0.2497662765651148,-2.7328254499089243e-17,0.14062499978049228
2.0,0,0,0,12,-0.32445591077105895,-0.18732470742383595,-1.941178671497929e-17,1.8690254416331378e-19
2.0,0,0,0,13,-0.28840525401871897,-0.20813856380426227,-2.229158801175764e-17,0.01740814298046874
2.0,0,0,0,14,-0.28840525401871897,-0.16651085104340985,-1.7254921524426052e-17,0.015625000130247816
2.0,0,0,1,0,-0.036050656752339885,0.02081385638042621,2.8798012967783443e-18,42.21265214240968
2.0,0,0,1,1,0.0,0.0,0.0,63.999999999978215
2.0,0,0,1,2,0.03605065675233987,-0.020813856380426238,-2.8798012967783412e-18,42.21265214240968
2.0,0,0,1,3,-1.3877787807814457e-17,0.04162771276085242,5.0366664873315954e-18,41.80972616855457
2.0,0,0,1,4,0.03605065675233987,0.020813856380426182,2.156865190553254e-18,42.2126521424102
2.0,0,0,1,5,-0.03605065675233983,-0.3954632712280984,-4.748686357653764e-17,0.0316218324367156
2.0,0,0,1,6,5.551115123125783e-17,-0.4162771276085247,-5.036666487331598e-17,0.0002416301330992065
2.0,0,0,1,7,4.163336342344337e-17,-0.37464941484767217,-4.532999838598438e-17,5.027940933286277e-20
2.0,0,0,1,8,0.0360506567523399,-0.3954632712280984,-4.8209799682762715e-17,0.03162183243573735
2.0,0,0,1,9,0.0360506567523399,-0.35383555846724596,-4.3173133195431126e-17,0.017408143096545255
2.0,0,0,1,10,-0.3605065675233988,-0.20813856380426227,-2.1568651905532554e-17,0.025361866739423616
2.0,0,0,1,11,-0.32445591077105884,-0.2289524201846886,-2.4448453202310898e-17,0.03162183253274132
2.0,0,0,1,12,-0.3605065675233988,-0.16651085104340974,-1.6531985418200946e-17,0.031621832159069704
2.0,0,0,1,13,-0.32445591077105884,-0.18732470742383606,-1.9411786714979297e-17,1.8690357244341706e-19
2.0,0,0,1,14,-0.32445591077105884,-0.14569699466298364,-1.4375120227647708e-17,0.0008559513111545966
2.0,0,0,2,0,-0.07210131350467976,0.04162771276085245,5.7596025935566855e-18,9.443388150158814
2.0,0,0,2,1,-0.03605065675233987,0.020813856380426238,2.8798012967783412e-18,42.21265214240968
2.0,0,0,2,2,0.0,0.0,0.0,63.999999999978215
2.0,0,0,2,3,-0.036050656752339885,0.06244156914127866,7.916467784109937e-18,16.09947397155232
2.0,0,0,2,4,0.0,0.04162771276085242,5.0366664873315954e-18,41.80972616855457
2.0,0,0,2,5,-0.0721013135046797,-0.3746494148476721,-4.46070622797593e-17,0.046874999948596945
2.0,0,0,2,6,-0.036050656752339816,-0.39546327122809843,-4.748686357653764e-17,0.0316218324367156
2.0,0,0,2,7,-0.03605065675233983,-0.3538355584672459,-4.245019708920604e-17,0.01740814309697643
2.0,0,0,2,8,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,5.027926435186835e-20
2.0,0,0,2,9,2.7755575615628914e-17,-0.3330217020868197,-4.029333189865279e-17,0.015625000130847447
2.0,0,0,2,10,-0.3965572242757387,-0.18732470742383603,-1.8688850608754213e-17,0.17260137859480637
2.0,0,0,2,11,-0.3605065675233987,-0.20813856380426235,-2.1568651905532557e-17,0.025361866739423117
2.0,0,0,2,12,-0.3965572242757387,-0.1456969946629835,-1.3652184121422605e-17,0.039380602870390635
2.0,0,0,2,13,-0.3605065675233987,-0.16651085104340982,-1.6531985418200956e-17,0.03162183215906941
2.0,0,0,2,14,-0.3605065675233987,-0.1248831382825574,-1.1495318930869366e-17,0.04687500004349433
